"","TractNumber","Date","AreaCode.x","BlockCode.x","BidOrder","Bid","nCompany","CompanyCode","ShareinBid","SaleDate","AreaCode.y","BlockCode.y","BlockPortion","StateCode","Acreage","PresaleValue","Type","Royalty","NumberOfBid","Reject","Reoffer","SameAs","PreviousTract","InitialTerm","HighBid","FirstSqud","Termniation","DrillingLag","ProductionLag","NumOfWell","NumOfYear_CruOilCon","NumOfYear_GasOil","ProdSpan_CruOilCon","ProdSpan_Gas","AveAnnualProd_Oil","AveAnnualPro_Gas","YearOfMaxProd_Oil","MaxAnnualPro_Oil","YearOfMaxProd_Gas","MaxAnnualPro_Gas","PredictSum_Oil","PredictSum_Gas","PredictRev","DrillCost","lbid","lvalue","lcost","Date1","BlockCode"
"18","101",1954-11-09,"HI","0052","6","1739805.","1","7","100.0",541109,"HI","52","P",42,1440,0,1,6,10,0,0,0,0,0,11053774,600310,0,5.33,2.75,8,27,27,29,29,73105.3,541725.1,69,250349,70,2190606,784197.8,4979529.8,10154237.2,4048470.2,14.369283595945,0,15.2138498863372,1954-11-09,"0052"
"19","101",1954-11-09,"HI","0052","7","635504.","1","15","100.0",541109,"HI","52","P",42,1440,0,1,6,10,0,0,0,0,0,11053774,600310,0,5.33,2.75,8,27,27,29,29,73105.3,541725.1,69,250349,70,2190606,784197.8,4979529.8,10154237.2,4048470.2,13.3621736638483,0,15.2138498863372,1954-11-09,"0052"
"20","101",1954-11-09,"HI","0052","5","1783596.","1","30","99.0",541109,"HI","52","P",42,1440,0,1,6,10,0,0,0,0,0,11053774,600310,0,5.33,2.75,8,27,27,29,29,73105.3,541725.1,69,250349,70,2190606,784197.8,4979529.8,10154237.2,4048470.2,14.3941421090776,0,15.2138498863372,1954-11-09,"0052"
"21","102",1954-11-09,"HI","0052","3","3704329.","1","7","100.0",541109,"HI","52","P",42,1440,0,1,6,7,0,0,0,0,0,6741462,551010,71,0.92,13.17,3,4,4,4,4,44259.3,239825.3,70,75976,70,591886,82223.7,440761.1,1004212,3970282.1,15.1250126936979,0,15.1943479599446,1954-11-09,"0052"
"22","102",1954-11-09,"HI","0052","1","6741462.","1","1","100.0",541109,"HI","52","P",42,1440,0,1,6,7,0,0,0,0,0,6741462,551010,71,0.92,13.17,3,4,4,4,4,44259.3,239825.3,70,75976,70,591886,82223.7,440761.1,1004212,3970282.1,15.7237873733126,0,15.1943479599446,1954-11-09,"0052"
"23","102",1954-11-09,"HI","0052","2","4073233.","1","5","100.0",541109,"HI","52","P",42,1440,0,1,6,7,0,0,0,0,0,6741462,551010,71,0.92,13.17,3,4,4,4,4,44259.3,239825.3,70,75976,70,591886,82223.7,440761.1,1004212,3970282.1,15.219947590985,0,15.1943479599446,1954-11-09,"0052"
"24","102",1954-11-09,"HI","0052","5","542097.","1","30","99.0",541109,"HI","52","P",42,1440,0,1,6,7,0,0,0,0,0,6741462,551010,71,0.92,13.17,3,4,4,4,4,44259.3,239825.3,70,75976,70,591886,82223.7,440761.1,1004212,3970282.1,13.2032002311988,0,15.1943479599446,1954-11-09,"0052"
"25","102",1954-11-09,"HI","0052","6","510405.","1","15","100.0",541109,"HI","52","P",42,1440,0,1,6,7,0,0,0,0,0,6741462,551010,71,0.92,13.17,3,4,4,4,4,44259.3,239825.3,70,75976,70,591886,82223.7,440761.1,1004212,3970282.1,13.142959807203,0,15.1943479599446,1954-11-09,"0052"
"26","102",1954-11-09,"HI","0052","7","262709.","1","21","100.0",541109,"HI","52","P",42,1440,0,1,6,7,0,0,0,0,0,6741462,551010,71,0.92,13.17,3,4,4,4,4,44259.3,239825.3,70,75976,70,591886,82223.7,440761.1,1004212,3970282.1,12.4788022346985,0,15.1943479599446,1954-11-09,"0052"
"27","102",1954-11-09,"HI","0052","4","1772258.","1","2","100.0",541109,"HI","52","P",42,1440,0,1,6,7,0,0,0,0,0,6741462,551010,71,0.92,13.17,3,4,4,4,4,44259.3,239825.3,70,75976,70,591886,82223.7,440761.1,1004212,3970282.1,14.3877649977429,0,15.1943479599446,1954-11-09,"0052"
"28","103",1954-11-09,"HI","0053","4","871059.","1","7","100.0",541109,"HI","53","P",42,1440,0,1,6,5,0,0,0,0,0,2700088,0,-1,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6774649917724,0,0,1954-11-09,"0053"
"29","103",1954-11-09,"HI","0053","5","169134.","1","168","100.0",541109,"HI","53","P",42,1440,0,1,6,5,0,0,0,0,0,2700088,0,-1,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0384465791348,0,0,1954-11-09,"0053"
"30","103",1954-11-09,"HI","0053","1","2700088.","2","30","50.0 1 50.0",541109,"HI","53","P",42,1440,0,1,6,5,0,0,0,0,0,2700088,0,-1,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.808794923036,0,0,1954-11-09,"0053"
"31","103",1954-11-09,"HI","0053","2","1046039.","4","6","25.0 24 25.0 8 25.0 15 25.0",541109,"HI","53","P",42,1440,0,1,6,5,0,0,0,0,0,2700088,0,-1,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8605212078068,0,0,1954-11-09,"0053"
"32","103",1954-11-09,"HI","0053","3","872224.","1","1","100.0",541109,"HI","53","P",42,1440,0,1,6,5,0,0,0,0,0,2700088,0,-1,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6788015506369,0,0,1954-11-09,"0053"
"33","104",1954-11-09,"HI","0068","1","6185466.","1","1","100.0",541109,"HI","68","P",42,1440,0,1,6,8,0,0,0,0,0,6185466,600628,-1,5.58,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1140481.8,15.6377129045437,0,13.9469622394881,1954-11-09,"0068"
"34","104",1954-11-09,"HI","0068","5","1393537.","4","6","25.0 24 25.0 8 25.0 15 25.0",541109,"HI","68","P",42,1440,0,1,6,8,0,0,0,0,0,6185466,600628,-1,5.58,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1140481.8,14.1473556773995,0,13.9469622394881,1954-11-09,"0068"
"35","104",1954-11-09,"HI","0068","2","6074822.","1","5","100.0",541109,"HI","68","P",42,1440,0,1,6,8,0,0,0,0,0,6185466,600628,-1,5.58,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1140481.8,15.6196632463501,0,13.9469622394881,1954-11-09,"0068"
"36","104",1954-11-09,"HI","0068","3","3704329.","1","7","100.0",541109,"HI","68","P",42,1440,0,1,6,8,0,0,0,0,0,6185466,600628,-1,5.58,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1140481.8,15.1250126936979,0,13.9469622394881,1954-11-09,"0068"
"37","104",1954-11-09,"HI","0068","4","1405630.","1","30","99.0",541109,"HI","68","P",42,1440,0,1,6,8,0,0,0,0,0,6185466,600628,-1,5.58,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1140481.8,14.1559961588259,0,13.9469622394881,1954-11-09,"0068"
"38","104",1954-11-09,"HI","0068","8","525417.","1","21","100.0",541109,"HI","68","P",42,1440,0,1,6,8,0,0,0,0,0,6185466,600628,-1,5.58,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1140481.8,13.1719475120101,0,13.9469622394881,1954-11-09,"0068"
"39","104",1954-11-09,"HI","0068","6","1055838.","1","2","100.0",541109,"HI","68","P",42,1440,0,1,6,8,0,0,0,0,0,6185466,600628,-1,5.58,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1140481.8,13.8698453223891,0,13.9469622394881,1954-11-09,"0068"
"40","104",1954-11-09,"HI","0068","7","538427.","1","168","100.0",541109,"HI","68","P",42,1440,0,1,6,8,0,0,0,0,0,6185466,600628,-1,5.58,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1140481.8,13.1964072046437,0,13.9469622394881,1954-11-09,"0068"
"41","105",1954-11-09,"HI","0068","1","872224.","1","1","100.0",541109,"HI","68","P",42,1440,0,1,6,4,0,0,0,0,0,872224,0,-1,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6788015506369,0,0,1954-11-09,"0068"
"42","105",1954-11-09,"HI","0068","4","175487.","1","30","99.0",541109,"HI","68","P",42,1440,0,1,6,4,0,0,0,0,0,872224,0,-1,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0753202450704,0,0,1954-11-09,"0068"
"43","105",1954-11-09,"HI","0068","2","697310.","1","7","100.0",541109,"HI","68","P",42,1440,0,1,6,4,0,0,0,0,0,872224,0,-1,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.454985354136,0,0,1954-11-09,"0068"
"44","105",1954-11-09,"HI","0068","3","262709.","1","21","100.0",541109,"HI","68","P",42,1440,0,1,6,4,0,0,0,0,0,872224,0,-1,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4788022346985,0,0,1954-11-09,"0068"
"45","106",1954-11-09,"HI","0069","2","2036665.","1","5","100.0",541109,"HI","69","P",42,1440,0,1,6,8,0,0,0,0,0,2787633,0,-1,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5268242241487,0,0,1954-11-09,"0069"
"46","106",1954-11-09,"HI","0069","1","2787633.","1","1","100.0",541109,"HI","69","P",42,1440,0,1,6,8,0,0,0,0,0,2787633,0,-1,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8407034066168,0,0,1954-11-09,"0069"
"47","106",1954-11-09,"HI","0069","6","360286.","1","2","100.0",541109,"HI","69","P",42,1440,0,1,6,8,0,0,0,0,0,2787633,0,-1,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7946534394728,0,0,1954-11-09,"0069"
"48","106",1954-11-09,"HI","0069","3","1739805.","1","7","100.0",541109,"HI","69","P",42,1440,0,1,6,8,0,0,0,0,0,2787633,0,-1,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.369283595945,0,0,1954-11-09,"0069"
"49","106",1954-11-09,"HI","0069","4","1046039.","4","6","25.0 24 25.0 8 25.0 15 25.0",541109,"HI","69","P",42,1440,0,1,6,8,0,0,0,0,0,2787633,0,-1,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8605212078068,0,0,1954-11-09,"0069"
"50","106",1954-11-09,"HI","0069","5","443352.","1","168","100.0",541109,"HI","69","P",42,1440,0,1,6,8,0,0,0,0,0,2787633,0,-1,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0021193159066,0,0,1954-11-09,"0069"
"51","106",1954-11-09,"HI","0069","7","267574.","1","30","99.0",541109,"HI","69","P",42,1440,0,1,6,8,0,0,0,0,0,2787633,0,-1,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4971514425757,0,0,1954-11-09,"0069"
"52","106",1954-11-09,"HI","0069","8","216665.","1","4","100.0",541109,"HI","69","P",42,1440,0,1,6,8,0,0,0,0,0,2787633,0,-1,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2861076608664,0,0,1954-11-09,"0069"
"53","1063",1966-03-29,"WC","0018","1","8784072.","1","15","100.0",660329,"WC","18","P",17,1525,0,3,6,4,0,0,0,0,0,8784072,660426,-1,0.08,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2308220.8,15.9884506394192,0,14.6519880025127,1966-03-29,"0018"
"54","1063",1966-03-29,"WC","0018","2","6861281.","1","17","100.0",660329,"WC","18","P",17,1525,0,3,6,4,0,0,0,0,0,8784072,660426,-1,0.08,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2308220.8,15.7414047169632,0,14.6519880025127,1966-03-29,"0018"
"55","1063",1966-03-29,"WC","0018","3","6744014.","1","14","100.0",660329,"WC","18","P",17,1525,0,3,6,4,0,0,0,0,0,8784072,660426,-1,0.08,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2308220.8,15.724165854581,0,14.6519880025127,1966-03-29,"0018"
"56","1063",1966-03-29,"WC","0018","4","3181902.","1","1","100.0",660329,"WC","18","P",17,1525,0,3,6,4,0,0,0,0,0,8784072,660426,-1,0.08,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2308220.8,14.9729896891655,0,14.6519880025127,1966-03-29,"0018"
"57","1064",1966-03-29,"WC","0018","2","4997635.","1","15","100.0",660329,"WC","18","P",17,1745,0,3,6,4,0,0,0,0,0,5918877,660729,70,0.33,0.83,2,4,4,4,4,6919.8,421077.5,67,14080,67,677360,25532,1536124.9,979405.1,5686854.9,15.4244753584986,0,15.5536680874766,1966-03-29,"0018"
"58","1064",1966-03-29,"WC","0018","3","3312630.","1","5","100.0",660329,"WC","18","P",17,1745,0,3,6,4,0,0,0,0,0,5918877,660729,70,0.33,0.83,2,4,4,4,4,6919.8,421077.5,67,14080,67,677360,25532,1536124.9,979405.1,5686854.9,15.0132529937896,0,15.5536680874766,1966-03-29,"0018"
"59","1064",1966-03-29,"WC","0018","1","5918877.","1","1","100.0",660329,"WC","18","P",17,1745,0,3,6,4,0,0,0,0,0,5918877,660729,70,0.33,0.83,2,4,4,4,4,6919.8,421077.5,67,14080,67,677360,25532,1536124.9,979405.1,5686854.9,15.5936572929197,0,15.5536680874766,1966-03-29,"0018"
"60","1064",1966-03-29,"WC","0018","4","1350461.","1","14","100.0",660329,"WC","18","P",17,1745,0,3,6,4,0,0,0,0,0,5918877,660729,70,0.33,0.83,2,4,4,4,4,6919.8,421077.5,67,14080,67,677360,25532,1536124.9,979405.1,5686854.9,14.1159565736046,0,15.5536680874766,1966-03-29,"0018"
"61","1065",1966-03-29,"WC","0047","3","2703268.","1","14","100.0",660329,"WC","47","P",17,2500,0,3,6,3,0,0,0,0,0,4772853,661218,71,0.75,4.58,2,1,1,1,1,3020,217382,71,3020,71,217382,2366.2,170324.3,104721.3,4327315.5,14.8099719694372,0,15.2804581618983,1966-03-29,"0047"
"62","1065",1966-03-29,"WC","0047","1","4772853.","1","1","100.0",660329,"WC","47","P",17,2500,0,3,6,3,0,0,0,0,0,4772853,661218,71,0.75,4.58,2,1,1,1,1,3020,217382,71,3020,71,217382,2366.2,170324.3,104721.3,4327315.5,15.3784547972737,0,15.2804581618983,1966-03-29,"0047"
"63","1065",1966-03-29,"WC","0047","2","4315117.","1","5","100.0",660329,"WC","47","P",17,2500,0,3,6,3,0,0,0,0,0,4772853,661218,71,0.75,4.58,2,1,1,1,1,3020,217382,71,3020,71,217382,2366.2,170324.3,104721.3,4327315.5,15.2776349968482,0,15.2804581618983,1966-03-29,"0047"
"64","1066",1966-03-29,"WC","0048","2","2859624.","1","17","100.0",660329,"WC","48","P",17,2500,0,3,6,2,0,0,0,0,0,3405714,680203,73,1.92,3.17,1,3,3,3,3,7200.7,153618.3,71,15156,71,286043,16674,354167.1,315746.2,2642769.7,14.8662007056218,0,14.7873384323502,1966-03-29,"0048"
"65","1066",1966-03-29,"WC","0048","1","3405714.","1","1","100.0",660329,"WC","48","P",17,2500,0,3,6,2,0,0,0,0,0,3405714,680203,73,1.92,3.17,1,3,3,3,3,7200.7,153618.3,71,15156,71,286043,16674,354167.1,315746.2,2642769.7,15.0409651672135,0,14.7873384323502,1966-03-29,"0048"
"66","1067",1966-03-29,"WC","0049","1","1375229.","1","1","100.0",660329,"WC","49","A",17,2097,0,3,6,1,0,0,0,0,0,1375229,660511,-1,0.17,-1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7660665.4,14.1341308206702,0,15.8516095353218,1966-03-29,"0049"
"67","1068",1966-03-29,"EC","0009","1","2836746.","2","2","50.0 16 50.0",660329,"EC","9","P",17,3152,0,3,6,4,0,0,0,0,0,2836746,680323,0,2,1.75,12,22,22,22,22,291395.6,8115658,73,1201568,72,33354587,4348355,121316315.4,96790823.4,21030150.9,14.8581681785879,0,16.8614677706675,1966-03-29,"0009"
"68","1068",1966-03-29,"EC","0009","4","1631402.","1","30","99.0",660329,"EC","9","P",17,3152,0,3,6,4,0,0,0,0,0,2836746,680323,0,2,1.75,12,22,22,22,22,291395.6,8115658,73,1201568,72,33354587,4348355,121316315.4,96790823.4,21030150.9,14.3049503257888,0,16.8614677706675,1966-03-29,"0009"
"69","1068",1966-03-29,"EC","0009","2","2005871.","3","23","50.0 19 25.0 131 25.0",660329,"EC","9","P",17,3152,0,3,6,4,0,0,0,0,0,2836746,680323,0,2,1.75,12,22,22,22,22,291395.6,8115658,73,1201568,72,33354587,4348355,121316315.4,96790823.4,21030150.9,14.5115889383575,0,16.8614677706675,1966-03-29,"0009"
"70","1068",1966-03-29,"EC","0009","3","1806673.","1","6","100.0",660329,"EC","9","P",17,3152,0,3,6,4,0,0,0,0,0,2836746,680323,0,2,1.75,12,22,22,22,22,291395.6,8115658,73,1201568,72,33354587,4348355,121316315.4,96790823.4,21030150.9,14.4069975902766,0,16.8614677706675,1966-03-29,"0009"
"71","1069",1966-03-29,"SS","0025","3","15514687.","1","292","100.0",660329,"SS","25","A",17,1438,0,3,6,7,0,0,0,0,0,20035590,660715,0,0.33,3.33,13,22,22,22,22,276708.5,12935696.1,72,867259,72,40009778,3949848.2,181156159.3,123329129.6,25275078.7,16.557297681636,0,17.0453294761794,1966-03-29,"0025"
"72","1069",1966-03-29,"SS","0025","4","12538851.","3","16","45.0 20 22.0 2 33.0",660329,"SS","25","A",17,1438,0,3,6,7,0,0,0,0,0,20035590,660715,0,0.33,3.33,13,22,22,22,22,276708.5,12935696.1,72,867259,72,40009778,3949848.2,181156159.3,123329129.6,25275078.7,16.3443424621768,0,17.0453294761794,1966-03-29,"0025"
"73","1069",1966-03-29,"SS","0025","7","2718148.","1","30","99.0",660329,"SS","25","A",17,1438,0,3,6,7,0,0,0,0,0,20035590,660715,0,0.33,3.33,13,22,22,22,22,276708.5,12935696.1,72,867259,72,40009778,3949848.2,181156159.3,123329129.6,25275078.7,14.8154613240136,0,17.0453294761794,1966-03-29,"0025"
"74","1069",1966-03-29,"SS","0025","1","20035590.","1","30","100.0",660329,"SS","25","A",17,1438,0,3,6,7,0,0,0,0,0,20035590,660715,0,0.33,3.33,13,22,22,22,22,276708.5,12935696.1,72,867259,72,40009778,3949848.2,181156159.3,123329129.6,25275078.7,16.813020750084,0,17.0453294761794,1966-03-29,"0025"
"75","1069",1966-03-29,"SS","0025","5","9791923.","1","7","100.0",660329,"SS","25","A",17,1438,0,3,6,7,0,0,0,0,0,20035590,660715,0,0.33,3.33,13,22,22,22,22,276708.5,12935696.1,72,867259,72,40009778,3949848.2,181156159.3,123329129.6,25275078.7,16.0970684201412,0,17.0453294761794,1966-03-29,"0025"
"76","1069",1966-03-29,"SS","0025","6","6014167.","1","5","100.0",660329,"SS","25","A",17,1438,0,3,6,7,0,0,0,0,0,20035590,660715,0,0.33,3.33,13,22,22,22,22,276708.5,12935696.1,72,867259,72,40009778,3949848.2,181156159.3,123329129.6,25275078.7,15.6096284106851,0,17.0453294761794,1966-03-29,"0025"
"77","1069",1966-03-29,"SS","0025","2","16807453.","1","1","100.0",660329,"SS","25","A",17,1438,0,3,6,7,0,0,0,0,0,20035590,660715,0,0.33,3.33,13,22,22,22,22,276708.5,12935696.1,72,867259,72,40009778,3949848.2,181156159.3,123329129.6,25275078.7,16.6373329769508,0,17.0453294761794,1966-03-29,"0025"
"78","107",1954-11-09,"HI","0108","1","2872940.","1","1","100.0",541109,"HI","108","A",42,5760,0,1,6,4,0,0,0,0,0,2872940,590720,-1,4.67,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1127865.3,14.8708464536501,0,13.9358381756463,1954-11-09,"0108"
"79","107",1954-11-09,"HI","0108","2","1543225.","1","3","100.0",541109,"HI","108","A",42,5760,0,1,6,4,0,0,0,0,0,2872940,590720,-1,4.67,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1127865.3,14.2493849405461,0,13.9358381756463,1954-11-09,"0108"
"80","107",1954-11-09,"HI","0108","3","703684.","1","30","99.0",541109,"HI","108","A",42,5760,0,1,6,4,0,0,0,0,0,2872940,590720,-1,4.67,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1127865.3,13.4640846707344,0,13.9358381756463,1954-11-09,"0108"
"81","107",1954-11-09,"HI","0108","4","350480.","1","5","100.0",541109,"HI","108","A",42,5760,0,1,6,4,0,0,0,0,0,2872940,590720,-1,4.67,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1127865.3,12.7670589224878,0,13.9358381756463,1954-11-09,"0108"
"82","1070",1966-03-29,"ST","0027","1","7558373.","2","30","50.0 17 50.0",660329,"ST","27","P",17,1250,0,3,6,4,0,0,0,0,0,7558373,661121,0,0.67,0.33,14,24,24,24,24,219833.3,256076.3,68,982600,68,1272485,3767399.5,4723802.3,32855942.7,16715661.2,15.8381665133542,0,16.631856694162,1966-03-29,"0027"
"83","1070",1966-03-29,"ST","0027","2","3240956.","1","30","100.0",660329,"ST","27","P",17,1250,0,3,6,4,0,0,0,0,0,7558373,661121,0,0.67,0.33,14,24,24,24,24,219833.3,256076.3,68,982600,68,1272485,3767399.5,4723802.3,32855942.7,16715661.2,14.9913789059748,0,16.631856694162,1966-03-29,"0027"
